match_id,period_1_score,period_2_score,period_3_score,period_4_score,period_5_score,period_1_play_score,period_2_play_score,period_3_play_score,period_4_play_score,period_5_play_score,current_display,start_date,current_play_score
12017963,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017964,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017965,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017967,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017970,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017971,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017973,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12017974,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018501,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018502,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018504,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018505,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018506,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018508,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018511,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018512,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018530,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018531,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018532,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018533,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018535,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018536,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018540,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018541,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018542,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018574,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018575,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018576,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018580,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018587,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018588,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018620,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018623,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018624,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018626,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018627,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018628,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018633,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018643,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018645,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018647,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018648,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018649,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018651,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018654,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018655,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018656,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018657,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018665,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018669,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018671,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018672,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018675,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018676,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018678,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018695,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018697,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018698,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018701,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018703,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018704,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018705,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018707,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018720,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018722,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018724,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018725,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018726,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018730,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12018734,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12046889,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12046971,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12049550,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12049551,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12049566,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12049599,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12049729,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12050318,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12051702,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12051795,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12051802,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12051803,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12051817,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12051970,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052001,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052003,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052052,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052140,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052175,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052254,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052255,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052259,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052321,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052333,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052354,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052418,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052426,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052428,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052436,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052439,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052448,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052481,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052488,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052498,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052502,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052534,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052535,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052547,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052550,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052551,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052554,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052556,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052614,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052684,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12052761,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053206,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053214,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053218,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053221,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053231,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053258,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053865,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053932,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12053941,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054269,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054289,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054299,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054300,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054302,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054304,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054311,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054312,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054313,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054328,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054355,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054402,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054403,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054419,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054420,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054428,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
12054429,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
