match_id,set_count
12017963,3
12017964,2
12017965,2
12017967,3
12017970,2
12017971,3
12017973,2
12017974,2
12018501,2
12018502,3
12018504,2
12018505,2
12018508,2
12018511,2
12018512,2
12018530,2
12018531,2
12018532,2
12018533,2
12018535,2
12018536,2
12018540,2
12018541,2
12018542,2
12018574,3
12018575,3
12018576,2
12018580,2
12018587,2
12018588,2
12018620,3
12018623,3
12018624,2
12018626,2
12018627,2
12018628,2
12018633,3
12018643,2
12018645,2
12018647,2
12018648,2
12018649,3
12018651,2
12018654,2
12018655,2
12018656,3
12018657,2
12018665,2
12018669,3
12018671,2
12018672,2
12018675,2
12018676,2
12018678,3
12018695,2
12018697,3
12018698,2
12018701,2
12018703,2
12018704,3
12018705,2
12018707,2
12018720,2
12018722,3
12018724,2
12018725,2
12018726,2
12018730,2
12046889,2
12046971,2
12049550,3
12049566,3
12049599,3
12049729,2
12050318,2
12051702,2
12051795,2
12051802,2
12051803,3
12051817,2
12051970,2
12052001,2
12052003,3
12052140,2
12052175,3
12052254,3
12052255,2
12052259,3
12052321,2
12052333,2
12052354,2
12052418,2
12052426,2
12052428,2
12052436,2
12052439,2
12052448,2
12052481,3
12052488,2
12052498,2
12052502,3
12052534,2
12052535,2
12052547,2
12052550,2
12052551,3
12052554,3
12052556,3
12052614,2
12052684,2
12052761,2
12053206,2
12053214,3
12053218,2
12053221,2
12053231,2
12053258,2
12053865,3
12053932,2
12053941,3
12054289,3
12054299,3
12054300,2
12054302,2
12054304,3
12054311,3
12054312,2
12054313,3
12054328,2
12054355,3
12054402,3
12054403,3
12054419,2
12054420,3
12054428,2
12054429,2
12054435,2
12054437,3
12054479,2
12054502,2
12054552,2
12054557,2
12054559,2
12054581,3
12054583,2
12054591,3
12054601,2
12054632,2
12054633,3
12054651,3
12054690,2
12054727,2
12054728,2
12054729,3
12054730,2
12054732,2
12054733,2
12054734,3
12054735,3
12054736,2
12054738,2
12054739,2
12054740,3
12054741,3
12054752,2
12054762,3
12054770,2
12054784,3
12054845,3
12054861,2
12054931,3
12054970,2
12055041,2
12055042,2
12055119,3
12055122,3
12055123,2
12055215,2
12055232,3
12055265,2
12055342,3
12055771,3
12055783,3
12055835,3
12055836,2
12056233,2
12056234,2
12056235,2
12056239,2
12056307,2
12056390,3
12056393,3
12056394,3
12056498,3
12056503,2
12056521,2
12056522,2
12056525,2
12056538,2
12056563,2
12056577,2
12056615,2
12056624,2
12056746,3
12056747,2
12056784,2
12056796,3
12056823,3
12056840,2
12056841,2
12056844,2
12056845,2
12056846,2
12056847,2
12056893,2
12056915,3
12049570,2
12049577,2
12049578,3
12049580,2
12049581,2
12049582,2
12049583,2
12049585,2
12049612,2
12049616,2
12049617,3
12049619,2
12049621,3
12049623,2
12049625,2
12049631,2
12049634,3
12049635,2
12049644,3
12049646,2
12049647,3
