full_name,height
"Hanfmann, Yannick",1.93
"Munar, Jaume",1.83
"Dellien, Hugo",1.8
"Etcheverry, Tomas Martin",1.96
"Tirante, Thiago Agustin",1.85
"Darderi, Luciano",1.83
"Díaz Acosta, Facundo",1.83
"Tiafoe, Frances",1.88
"Thompson, Jordan",1.83
"Koepfer, Dominik",1.8
"Mannarino, Adrian",1.8
"Korda, Sebastian",1.96
"Auger-Aliassime, Felix",1.93
"Zhang, Zhizhen",1.93
"Humbert, Ugo",1.88
"Hurkacz, Hubert",1.96
"Ruusuvuori, Emil",1.88
"Rinderknech, Arthur",1.96
"Lehečka, Jiří",1.85
"Walton, Adam",1.83
"McCabe, James",1.88
"Sweeny, Dane",1.7
"Uchiyama, Yasutaka",1.83
"Tu, Li",1.8
"Nardi, Luca",1.85
"Mukund, Sasikumar",1.85
"Tseng, Chun Hsin",1.75
"Palan, Dominik",1.91
"Švrčina, Dalibor",1.78
"Echargui, Moez",1.78
"Kolar, Zdenek",1.83
"Blockx, Alexander",1.91
"Kuzmanov, Dimitar",1.83
"Kukushkin, Mikhail",1.83
"Mpetshi Perricard, Giovanni",2.03
"Martineau, Matteo",1.83
"Bucsa, Cristina",1.76
"Rybakina, Elena",1.84
"Haddad Maia, Beatriz",1.85
"Kasatkina, Daria",1.7
"Krejcikova, Barbora",1.78
"Tauson, Clara",1.82
"Rus, Arantxa",1.8
"Dart, Harriet",1.75
"Cristian, Jaqueline",1.82
"Plíšková, Karolína",1.86
"Bogdan, Ana",1.71
"Osorio Serrano, María Camila",1.7
"Errani, Sara",1.64
"Volynets, Katie",1.7
"Hunter, Storm",1.66
"Mejia, Nicolas",1.83
"Guillen Meza, Alvaro",1.75
"Chidekh, Clement",1.8
"Adams, Harrison",1.83
"Zhao, Carol",1.68
"Furness, Evan",1.73
"Kravchenko, Georgii",1.8
"Oberleitner, Neil",1.93
"Saraiva dos Santos, Paulo André",1.8
"Ribeiro, Eduardo",1.78
"Kuzuhara, Bruno",1.75
"Mena, Facundo",1.83
"Kodat, Toby Alex",1.78
"Dellien Velasco, Murkel Alejandro",1.93
"Wiersholm, Henrik",1.78
"Chwalinska, Maja",1.64
"Bouquier, Arthur",1.88
"Pattinama Kerkhove, Lesley",1.72
"Lepchenko, Varvara",1.8
"Bynoe, Evan",1.85
"Scott, Katrina",1.83
Vallejo Daniel,1.83
"Dutra da Silva, Daniel",1.73
"Chang, Sophie",1.85
"Nefve, Axel",1.93
"Niemeier, Jule",1.78
"Marino, Rebecca",1.83
"Carlé, María Lourdes",1.66
"Erhard, Mathys",1.88
"Gengel, Marek",1.85
"Ojakaar, Oliver",1.91
"Clarke, Jay",1.83
"Denolly, Corentin",1.88
"Iannaccone, Federico",1.83
"Shinikova, Isabella",1.84
"Hardt, Nick",1.83
"Barroso Campos, Alberto",1.78
"Merida Aguilar, Daniel",1.88
"Ionel, Nicholas David",1.85
"Tabur, Clement",1.73
"Bertrand, Robin",1.78
"Palicova, Barbora",1.68
"Wang, Xiyu",1.82
"Tomova, Viktoriya",1.7
"Masarova, Rebeka",1.86
"Yuan, Yue",1.78
"Hibino, Nao",1.63
"Öz, İpek",1.78
"Pera, Bernarda",1.76
"Rodionova, Arina",1.68
"Birrell, Kimberly",1.7
"Parry, Diane",1.7
"Sorribes Tormo, Sara",1.76
"Parks, Alycia",1.85
"Bronzetti, Lucia",1.7
"Frech, Magdalena",1.71
"Masur, Daniel",1.83
"Justo, Guido Ivan",1.78
"Melnikova, Marina",1.73
"Trevisan, Martina",1.6
"Simakin, Ilia",1.93
"Tiurnev, Evgenii",1.91
"Sasnovich, Aliaksandra",1.74
"Jianu, Filip Cristian",1.8
"Babos, Tímea",1.79
"Rodionov, Jurij",1.91
"Zeppieri, Giulio",1.83
"Van Assche, Luca",1.78
"Goffin, David",1.8
"Gaston, Hugo",1.73
"Shapovalov, Denis",1.85
"Siegemund, Laura",1.68
"Hercog, Polona",1.85
"Burruchaga, Roman Andres",1.83
"Bagnis, Facundo",1.83
"Baez, Sebastian",1.7
"Coria, Federico",1.8
"Ofner, Sebastian",1.91
"Michelsen, Alex",1.93
"Shelton, Ben",1.93
"Paul, Tommy",1.85
"Giron, Marcos",1.8
"Nishioka, Yoshihito",1.7
"Kudla, Denis",1.8
"Duckworth, James",1.83
"Hijikata, Rinky",1.78
"Dimitrov, Grigor",1.91
"Khachanov, Karen",1.98
"Davidovich Fokina, Alejandro",1.83
"Shevchenko, Alexander",1.85
"Machač, Tomáš",1.83
"Sekulic, Philip",1.91
"Langmo, Christian",1.91
"Schoolkate, Tristan",1.83
"Napolitano, Stefano",1.96
"Dalla Valle, Enrico",1.96
"Nagal, Sumit",1.78
"de Loore, Joris",1.91
"Möller, Marvin",1.78
"Shelbayh, Abedallah",1.8
"Harris, Billy",1.93
"Marie, Jules",1.85
"Watson, Heather",1.7
"Collins, Danielle",1.78
"Jabeur, Ons",1.67
"Cirstea, Sorana",1.76
"Samsonova, Liudmila",1.82
"Parrizas Diaz, Nuria",1.7
"Sevastova, Anastasija",1.69
"Maria, Tatjana",1.72
"Uchijima, Moyuka",1.74
"Gimenez, Igor",1.8
"Roncadelli, Franco",1.85
"Zanellato, Nicolas",1.78
"Kivattsev, Kirill",1.93
"Bertran, Peter",1.83
Amaury Raynel,1.8
"Seidel, Ella",1.76
"Guerrieri, Andrea",1.8
"Tan, Harmony",1.7
"Villanueva, Gonzalo",1.75
"Rybakov, Alex",1.85
"Bonnaud, Arthur",1.75
"Torres, Juan Bautista",1.78
"Cigarran, Thiago",1.83
"Popko, Dmitry",1.91
"Kung, Leonie",1.76
"Glinka, Daniil",1.88
"Vickery, Sachia",1.63
"Shymanovich, Iryna",1.71
"Andrade, Andres",1.8
"Pucinelli de Almeida, Matheus",1.83
"Bueno, Gonzalo",1.73
"Vankan, Marlon",1.7
"Contreras, Fernanda",1.7
"Alves, Carolina",1.7
"Swan, Katie",1.74
"Melzer, Gerald",1.88
"Hudd, Emile",1.93
"Purtseladze, Saba",1.91
"Moroni, Gian Marco",1.85
"Visker, Niels",1.91
"Majchrzak, Kamil",1.8
"Blanch, Dali",1.85
"In-Albon, Ylena",1.6
"Habib, Hady",1.88
"Barranco Cosano, Javier",1.78
"Gutierrez, Oscar Jose",1.7
"Safwat, Mohamed",1.8
"Gima, Sebastian",1.83
"Carboni, Lorenzo",1.68
"Hoang, Antoine",1.83
"Gueymard Wayenburg, Sascha",1.88
"Pigossi, Laura",1.64
"Zheng, Saisai",1.7
"Krueger, Ashlyn",1.85
"Putintseva, Yulia",1.63
"Rakhimova, Kamilla",1.7
"Timofeeva, Maria",1.67
"Friedsam, Anna-Lena",1.74
"Hontama, Mai",1.64
"Bergs, Zizou",1.85
"Bautista Agut, Roberto",1.83
"Brouwer, Gijs",1.91
"Barrere, Gregoire",1.83
"Marterer, Maximilian",1.88
"Vavassori, Andrea",1.91
"Jarry, Nicolas",1.98
"Lajovic, Dusan",1.83
"Alcaraz, Carlos",1.83
"Albot, Radu",1.75
"Svajda, Zachary",1.75
Flavio Cobolli,1.83
"Fritz, Taylor",1.96
"Sinner, Jannik",1.88
"Struff, Jan-Lennard",1.93
"de Minaur, Alex",1.83
"Griekspoor, Tallon",1.88
"Swiatek, Iga",1.76
"Pavlyuchenkova, Anastasia",1.76
"Osaka, Naomi",1.8
"Fernandez, Leylah",1.68
"Naw, Hazem",1.83
"Droguet, Titouan",1.91
"Paire, Benoit",1.96
"Geerts, Michael",1.78
"Vylegzhanin, Nikolay",1.78
"Kachmazov, Alibek",1.85
