match_id,full_name,height
11998445,"Cazaux, Arthur",1.83
11998446,"Lestienne, Constant",1.8
11998447,"Ćorić, Borna",1.88
11998448,"Mmoh, Michael",1.88
11998449,"Paire, Benoit",1.96
11998450,"Shapovalov, Denis",1.85
11998451,"Shevchenko, Alexander",1.85
11998456,"Shevchenko, Alexander",1.85
11998459,"Rune, Holger",1.88
11998666,"Saville, Luke",1.88
11998667,"Uchiyama, Yasutaka",1.83
11998670,"Moriya, Hiroki",1.68
11998671,"Jasika, Omar",1.83
11998672,"Imai, Shintaro",1.78
11998674,"Saville, Luke",1.88
11998675,"Hijikata, Rinky",1.78
11998676,"Noguchi, Rio",1.68
11998772,"Vandecasteele, Quinn",1.91
11998774,"Duckworth, James",1.83
11998780,"Quinn, Ethan",1.91
11998782,"Sandgren, Tennys",1.88
11998783,"Rubin, Noah",1.75
11998784,"Kwiatkowski, Thai-Son",1.88
11998785,"Cassone, Murphy",1.88
11998786,"Nava, Emilio",1.85
11999004,"Krajinović, Filip",1.85
11999005,"Naw, Hazem",1.83
11999007,"Jorda Sanchis, David",1.98
11999009,"Kolar, Zdenek",1.83
11999010,"Rodionov, Jurij",1.91
11999011,"Travaglia, Stefano",1.85
11999012,"Kukushkin, Mikhail",1.83
11999013,"Blockx, Alexander",1.91
11999014,"Travaglia, Stefano",1.85
11999209,"Alves, Mateus",1.93
11999210,"Stodder, Timo",1.8
11999211,"Casanova, Hernan",1.78
11999212,"Pucinelli de Almeida, Matheus",1.83
11999213,"Coria, Federico",1.8
11999215,"Cecchinato, Marco",1.85
11999219,"Dutra da Silva, Daniel",1.73
11999220,"Campana Lee, Gerard",1.8
12002040,"Fruhvirtova, Linda",1.72
12002041,"Rodionova, Arina",1.68
12002042,"Volynets, Katie",1.7
12002043,"Schmiedlova, Anna-Karolina",1.76
12002044,"Golubic, Viktorija",1.69
12002048,"Niemeier, Jule",1.78
12002049,"Potapova, Anastasia",1.75
12002050,"Yastremska, Dayana",1.75
12002051,"Siniakova, Katerina",1.74
12002052,"Pavlyuchenkova, Anastasia",1.76
12002053,"Mertens, Elise",1.79
12002055,"Ostapenko, Jelena",1.77
12002057,"Shnaider, Diana",
12002058,"Wang, Xinyu",1.82
12002060,"Wang, Yafan",1.7
12002064,"Rodionova, Arina",1.68
12002065,"Burel, Clara",1.76
12002068,"Potapova, Anastasia",1.75
12010829,Flavio Cobolli,1.83
12010830,"Zapata Miralles, Bernabe",1.83
12011297,"Choinski, Jan",1.96
12011301,"Otte, Oscar",1.93
12011306,"Passaro, Francesco",1.8
12014547,"Martic, Petra",1.81
12016976,"Yastremska, Dayana",1.75
12017442,"Abbagnato, Anastasia",
12017453,"Bulgaru, Miriam Bianca",
12017455,"Zgirovsky, Alexander",1.91
12017458,"Szajrych, Jasza",
12017459,"Lopez, Noah",1.83
12017462,"Radišić, Nika",
12017463,"Giacomini, Luca",1.7
12017464,"Kuhl, Carolina",
12017465,"Jorge, Francisca",
12017468,"Hindova, Denisa",
12017473,"Bartůňková, Nikola",
12017477,"Hamaliy, Elizabet",
12017480,"Martinez Martinez, Jorge",1.7
12017488,"Decamps, Gabriel",1.93
12017495,"Zuk, Kacper",1.83
12017501,"Delage, Pierre",1.98
12017504,"Carlé, María Lourdes",1.66
12017505,"Costoulas, Sofia",
12017506,"Alimli, Mikail",1.83
12017510,"Miroshnichenko, Veronica",
12017511,"Lee, Gabriela",
12017513,"Shymanovich, Iryna",1.71
12017514,"Chang, Sophie",1.85
12017517,"Monnot , Amandine",
12017520,"Jeanjean, Léolia",1.68
12017522,"Tubello, Alice",
12017523,"Robbe, Alice",
12017526,"Miyazaki, Yuriko Lily",
12017528,"Bechri, Chiraz",
12017533,"Dodin, Océane",1.83
12017539,"Makhlouf, Mohamed Nazim",1.93
12017648,"Fetecău, Irina",
12017656,"Hule, Petra",
12018083,"Yamaguchi, Mei",
12018833,"Hrdinkova, Denise",
12018836,"Samsonova, Laura",
12018842,"Habib, Ali",
12018844,"Summers, Matthew",1.8
12018849,"Pogosian, Sergei",
12018857,"Vilicich, Bautista",1.8
12018899,"Hercog, Polona",1.85
12018932,"Ruggeri, Jennifer",
12018933,"Herdzelas, Dea",
12018934,"Waligora, Amelia",
12018937,"Laskevich, Evialina",
12018939,"Mansouri, Yasmine",
12018941,"Kan, Victoria",
12018944,"Van Impe, Amelie",
12018945,"Fedorova, Aglaya",
12019043,"Jones, Ben",1.93
12019094,"Negritu, Christoph",1.93
12019105,"Klok, Denys",1.8
12019106,"Bouquier, Arthur",1.88
12019658,"Jong, Alexander Maarten",1.8
12019672,"Gavrilă, Oana",1.7
12019673,"Balus, Irina",
12019677,"Munk Mortensen, Rebecca",
12019755,"Falei, Aliona",
12019899,"Šrámková, Rebecca",1.79
12019944,"Kempen, Magali",
12019945,"Appleton, Emily",
12019949,"Ghioroaie, Ylona-Georgiana",
12019979,"Vylegzhanin, Nikolay",1.78
12020048,"Chirico, Louisa",1.75
12020068,"Chirico, Louisa",1.75
12020069,"Hewitt, Dalayna",
12020070,"Shymanovich, Iryna",1.71
12020071,"Li, Ann",1.7
12020073,"Lemaître, Tiphanie",
12020074,"Hu, Victoria",
12020075,"Daavettila, Sara",
12020509,"Aiava, Destanee",1.75
12020510,"Naito, Yuki",1.63
12020513,"Shibahara, Ena",1.7
12020532,"Ito, Aoi",
12020544,"Sawangkaew, Mananchaya",
12020555,"Joint, Maya",
12020624,"Semenistaja, Darja",
12020718,"Yashina, Ekaterina",1.73
12021294,"Gea, Arthur",1.8
12021309,"Erhard, Mathys",1.88
12021318,"Sato, Naho",
12021328,"Mi, Tianmi",
12021399,"Toth, Amarissa Kiara",
12021419,"Monnet, Carole",
12021434,"Shimizu, Eri",
12021435,"Ozeki, Michika",
12021442,"Ovcharenko, Oleksandr",1.85
12021451,"Brigida, Omar",
12021493,"Simakin, Ilia",1.93
12021494,"Zolotareva, Anastasia",
12021502,"Cadenasso, Gianluca",1.78
12021503,"Polukhin, Savva",
12021508,"Merida Aguilar, Daniel",1.88
12021512,"Bielinskyi, Viacheslav",
12021516,"Krutykh, Oleksii",1.85
12021518,"Komano, Margaux",
12021519,"Zhukov, Maxim",
12021521,"Stagno, Beatrice",
12021522,Perfetti Noah,
12021530,"Rouvroy, Margaux",
12021532,"Todoni, Anca Alexia",
12021538,"Shalimova, Ekaterina",
12021539,"Iannaccone, Federico",1.83
12021558,"Agamenone, Franco",1.91
12021562,"Zhiyenbayeva, Sonja",
12021566,"Kawagishi, Nana",
12021581,"Sharipov, Marat",1.88
12021589,"Jaskova, Anika",
12021590,"Hamza Reguig, Samir",1.83
12021599,"Safta, Anastasia",
12021601,"Jorda Sanchis, David",1.98
12021605,"Martincova, Tereza",1.77
12021622,"Marino, Pietro",1.73
12021623,"El Aouni, Aya",
12021624,"Salomone, Federico",1.91
12021658,"Erjavec, Veronika",
12021659,"Kudriashov, Igor",
12021806,"Pridankina, Elena",
12021807,"Donders, Dax",1.78
12021848,"Gasanova, Anastasia",1.72
12022185,"Zhu, Michael",1.75
12022248,"Agafonov, Egor",1.85
12022250,"Kivattsev, Kirill",1.93
12022262,"Smejkalova, Amelie",
12022282,"Serafini, Marcello",1.88
12022295,"Parker, Stuart",1.85
12022305,"Whitehouse, Mark",1.88
12022321,"Kan, Victoria",
12022327,"Öz, İpek",1.78
12022336,"Roura Llaverias, Ruth",
12022371,"Radišić, Nika",
12022396,"Khamis, Yusuf",
12022430,"Curmi, Francesca",
12022438,"Maristany Zuleta De Reales, Guiomar",
12022452,"Pavlova, Kira",
12022453,"Berrettini, Jacopo",1.93
12022492,"Dodin, Océane",1.83
12022513,"Abbagnato, Anastasia",
12022525,"Liaonenka, Aliaksandr",1.96
12022526,"Pecci, Alessandro",1.98
12022527,"Khomutsianskaya, Daria",
12022528,"Bulgaru, Miriam Bianca",
12022562,"Albie, Audrey",
12022672,"Appleton, Emily",
12022674,"Lane, Lewie",1.83
12022675,"Hamaliy, Elizabet",
12022680,"Karunaratne, Adithya",
12022685,"Sieg, Madison",
12022703,"Kessler, McCartney",
12022718,"Kempen, Magali",
12022727,"Ionescu, Elizabeth",
12022801,"Carlé, María Lourdes",1.66
12022802,"Strakhova, Valeriya",
12023335,"Ito, Aoi",
12023340,"Saito, Sara",
12023348,"Zhang, Zhizhen",1.93
12023350,"Zhou, Yi",1.93
12023352,"Ly, Hoang Nam",1.75
12023353,"Trinh, Linh Giang",1.83
12023361,"Statham, Rubin",1.8
12023362,"Pannu, Kiranpal",1.85
12023461,"Imamura, Saki",
12023462,"Sawangkaew, Mananchaya",
12023465,"Monnet, Carole",
12023470,"Shibahara, Ena",1.7
12024041,"Fomin, Sergey",1.8
12024043,"Sultanov, Khumoyun",1.8
12024064,"Shimizu, Eri",
12024149,"Todoni, Anca Alexia",
12024225,"Merida Aguilar, Daniel",1.88
12024232,"Habib, Hady",1.88
12024235,"Hassan, Benjamin",1.83
12024236,"Nikles, Johan",1.73
12024243,"Gea, Arthur",1.8
12024248,Perfetti Noah,
12024249,"Erhard, Mathys",1.88
12024252,"Toth, Amarissa Kiara",
12024254,"Giacomini, Luca",1.7
12024307,"Portillo Ramirez, Maria Jose",
12024308,"Martinez Martinez, Jorge",1.7
12024356,"Sharipov, Marat",1.88
12024368,"Griekspoor, Tallon",1.88
12024386,"Asrawy, Amr",1.85
12024387,"Safwat, Mohamed",1.8
12024430,"Maristany Zuleta De Reales, Guiomar",
12024431,"Aikawa, Mayuka",
12024440,"Tubello, Alice",
12024550,"Zolotareva, Anastasia",
12024572,"Wong, Hong Yi Cody",
12024628,"Klok, Denys",1.8
12024632,"Liaonenka, Aliaksandr",1.96
12024643,"Bielinskyi, Viacheslav",
12024644,"Salkova, Dominika",
